parameters, N, margin, status, nrounds, samplesUsed, notUsed, nmvrs, failPct, usedStddev, mvrMargin
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.016000000000000014, StatRejectNull, 1.0, 464.0, 0.0, 0.0, 0.0, 0.0, 0.016000000000000014
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 742.0, 0.0, 0.0, 0.0, 0.0, 0.010000000000000009
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.004999999999999893, StatRejectNull, 1.0, 1681.0, 0.0, 0.0, 0.0, 0.0, 0.004999999999999893
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.10000000000000009, StatRejectNull, 1.0, 73.0, 0.0, 0.0, 0.0, 0.0, 0.10000000000000009
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.050000000000000044, StatRejectNull, 1.0, 148.0, 0.0, 0.0, 0.0, 0.0, 0.050000000000000044
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.016000000000000014, StatRejectNull, 1.0, 530.0, 0.0, 0.0, 0.0, 0.0, 0.016000000000000014
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.0029999999999998916, StatRejectNull, 1.0, 2771.0, 0.0, 0.0, 0.0, 0.0, 0.0029999999999998916
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 211.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.0029999999999998916, StatRejectNull, 1.0, 2433.0, 0.0, 0.0, 0.0, 0.0, 0.0029999999999998916
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 185.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.06000000000000005, StatRejectNull, 1.0, 123.0, 0.0, 0.0, 0.0, 0.0, 0.06000000000000005
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.008000000000000007, StatRejectNull, 1.0, 1056.0, 0.0, 0.0, 0.0, 0.0, 0.008000000000000007
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.10000000000000009, StatRejectNull, 1.0, 83.0, 0.0, 0.0, 0.0, 0.0, 0.10000000000000009
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.01200000000000001, StatRejectNull, 1.0, 706.0, 0.0, 0.0, 0.0, 0.0, 0.01200000000000001
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.07000000000000006, StatRejectNull, 1.0, 120.0, 0.0, 0.0, 0.0, 0.0, 0.07000000000000006
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.07000000000000006, StatRejectNull, 1.0, 105.0, 0.0, 0.0, 0.0, 0.0, 0.07000000000000006
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.030000000000000027, StatRejectNull, 1.0, 282.0, 0.0, 0.0, 0.0, 0.0, 0.030000000000000027
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.004999999999999893, StatRejectNull, 1.0, 1474.0, 0.0, 0.0, 0.0, 0.0, 0.004999999999999893
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 424.0, 0.0, 0.0, 0.0, 0.0, 0.020000000000000018
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 9.999999999998899E-4, StatRejectNull, 1.0, 6232.0, 0.0, 0.0, 0.0, 0.0, 9.999999999998899E-4
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.050000000000000044, StatRejectNull, 1.0, 169.0, 0.0, 0.0, 0.0, 0.0, 0.050000000000000044
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.0040000000000000036, StatRejectNull, 1.0, 1636.0, 0.0, 0.0, 0.0, 0.0, 0.0040000000000000036
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.0029999999999998916, StatRejectNull, 1.0, 2169.0, 0.0, 0.0, 0.0, 0.0, 0.0029999999999998916
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 371.0, 0.0, 0.0, 0.0, 0.0, 0.020000000000000018
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.0040000000000000036, StatRejectNull, 1.0, 1836.0, 0.0, 0.0, 0.0, 0.0, 0.0040000000000000036
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 846.0, 0.0, 0.0, 0.0, 0.0, 0.010000000000000009
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.06000000000000005, StatRejectNull, 1.0, 140.0, 0.0, 0.0, 0.0, 0.0, 0.06000000000000005
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.006000000000000005, StatRejectNull, 1.0, 1231.0, 0.0, 0.0, 0.0, 0.0, 0.006000000000000005
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 9.999999999998899E-4, StatRejectNull, 1.0, 6954.0, 0.0, 0.0, 0.0, 0.0, 9.999999999998899E-4
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.006000000000000005, StatRejectNull, 1.0, 1404.0, 0.0, 0.0, 0.0, 0.0, 0.006000000000000005
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.008000000000000007, StatRejectNull, 1.0, 926.0, 0.0, 0.0, 0.0, 0.0, 0.008000000000000007
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 9.999999999998899E-4, StatRejectNull, 1.0, 7865.0, 0.0, 0.0, 0.0, 0.0, 9.999999999998899E-4
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.030000000000000027, StatRejectNull, 1.0, 247.0, 0.0, 0.0, 0.0, 0.0, 0.030000000000000027
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.0020000000000000018, StatRejectNull, 1.0, 3219.0, 0.0, 0.0, 0.0, 0.0, 0.0020000000000000018
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.01200000000000001, StatRejectNull, 1.0, 619.0, 0.0, 0.0, 0.0, 0.0, 0.01200000000000001
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.08000000000000007, StatRejectNull, 1.0, 105.0, 0.0, 0.0, 0.0, 0.0, 0.08000000000000007
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.0020000000000000018, StatRejectNull, 1.0, 3606.0, 0.0, 0.0, 0.0, 0.0, 0.0020000000000000018
"nruns=1 cat=0.8 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.08000000000000007, StatRejectNull, 1.0, 92.0, 0.0, 0.0, 0.0, 0.0, 0.08000000000000007
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.0020000000000000018, StatRejectNull, 1.0, 4099.0, 0.0, 0.0, 0.0, 0.0, 0.0020000000000000018
"nruns=1 cat=0.7 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.0040000000000000036, StatRejectNull, 1.0, 2092.0, 0.0, 0.0, 0.0, 0.0, 0.0040000000000000036
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.004999999999999893, StatRejectNull, 1.0, 1313.0, 0.0, 0.0, 0.0, 0.0, 0.004999999999999893
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.006000000000000005, StatRejectNull, 1.0, 1096.0, 0.0, 0.0, 0.0, 0.0, 0.006000000000000005
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.008000000000000007, StatRejectNull, 1.0, 824.0, 0.0, 0.0, 0.0, 0.0, 0.008000000000000007
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.01200000000000001, StatRejectNull, 1.0, 550.0, 0.0, 0.0, 0.0, 0.0, 0.01200000000000001
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.016000000000000014, StatRejectNull, 1.0, 413.0, 0.0, 0.0, 0.0, 0.0, 0.016000000000000014
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 660.0, 0.0, 0.0, 0.0, 0.0, 0.010000000000000009
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 330.0, 0.0, 0.0, 0.0, 0.0, 0.020000000000000018
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 165.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.07000000000000006, StatRejectNull, 1.0, 94.0, 0.0, 0.0, 0.0, 0.0, 0.07000000000000006
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.008000000000000007, StatRejectNull, 1.0, 742.0, 0.0, 0.0, 0.0, 0.0, 0.008000000000000007
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.08000000000000007, StatRejectNull, 1.0, 74.0, 0.0, 0.0, 0.0, 0.0, 0.08000000000000007
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.08000000000000007, StatRejectNull, 1.0, 82.0, 0.0, 0.0, 0.0, 0.0, 0.08000000000000007
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.01200000000000001, StatRejectNull, 1.0, 496.0, 0.0, 0.0, 0.0, 0.0, 0.01200000000000001
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.10000000000000009, StatRejectNull, 1.0, 65.0, 0.0, 0.0, 0.0, 0.0, 0.10000000000000009
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.030000000000000027, StatRejectNull, 1.0, 220.0, 0.0, 0.0, 0.0, 0.0, 0.030000000000000027
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.010000000000000009, StatRejectNull, 1.0, 595.0, 0.0, 0.0, 0.0, 0.0, 0.010000000000000009
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.050000000000000044, StatRejectNull, 1.0, 132.0, 0.0, 0.0, 0.0, 0.0, 0.050000000000000044
"nruns=1 cat=0.9 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.06000000000000005, StatRejectNull, 1.0, 109.0, 0.0, 0.0, 0.0, 0.0, 0.06000000000000005
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.020000000000000018, StatRejectNull, 1.0, 298.0, 0.0, 0.0, 0.0, 0.0, 0.020000000000000018
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.030000000000000027, StatRejectNull, 1.0, 198.0, 0.0, 0.0, 0.0, 0.0, 0.030000000000000027
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.016000000000000014, StatRejectNull, 1.0, 372.0, 0.0, 0.0, 0.0, 0.0, 0.016000000000000014
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.040000000000000036, StatRejectNull, 1.0, 149.0, 0.0, 0.0, 0.0, 0.0, 0.040000000000000036
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.0029999999999998916, StatRejectNull, 1.0, 1957.0, 0.0, 0.0, 0.0, 0.0, 0.0029999999999998916
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.0040000000000000036, StatRejectNull, 1.0, 1475.0, 0.0, 0.0, 0.0, 0.0, 0.0040000000000000036
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.07000000000000006, StatRejectNull, 1.0, 85.0, 0.0, 0.0, 0.0, 0.0, 0.07000000000000006
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.10000000000000009, StatRejectNull, 1.0, 59.0, 0.0, 0.0, 0.0, 0.0, 0.10000000000000009
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.006000000000000005, StatRejectNull, 1.0, 988.0, 0.0, 0.0, 0.0, 0.0, 0.006000000000000005
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.0020000000000000018, StatRejectNull, 1.0, 2907.0, 0.0, 0.0, 0.0, 0.0, 0.0020000000000000018
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 9.999999999998899E-4, StatRejectNull, 1.0, 5646.0, 0.0, 0.0, 0.0, 0.0, 9.999999999998899E-4
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.050000000000000044, StatRejectNull, 1.0, 119.0, 0.0, 0.0, 0.0, 0.0, 0.050000000000000044
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.06000000000000005, StatRejectNull, 1.0, 99.0, 0.0, 0.0, 0.0, 0.0, 0.06000000000000005
"nruns=1 cat=1.0 mvrsFuzzPct=0.0 auditType=3.0 ", 50000, 0.004999999999999893, StatRejectNull, 1.0, 1183.0, 0.0, 0.0, 0.0, 0.0, 0.004999999999999893
